2000395900一方 いっぽう 一个方向，一个方面；越来越…;一边…一边…
0001278900移転 いてん 搬家，乔迁；转移，转让
2001904200緯度 いど 维度
0002174300居眠り いねむり 打盹儿，打瞌睡
0002507500祈り いのり 祈祷
0002954600威張る いばる (气焰)嚣张，摆架子，飞扬跋扈
0003451000いびき いびき 呼噜，喊声
2003811600衣服 いふく 衣服，衣物
2004186100今一 いまいち 差一点，再加把劲
2004626300今更 いまさら 事到如今，事已至此；再次，重新
2005334200今時 いまどき 现今，如今，现在，这个时候
2006081000今にも いまにも 眼看，就要
2006530300今のところ いまのところ 目前，现阶段
2007081800芋 いも 芋，薯，芋头，马铃薯，红薯，山药等的通称
0008064300いやというほど いやというほど 厌烦，腻烦
0008485700意欲 いよく 意愿，热情，积极性
2009031800依頼 いらい 请求，委托，依赖，依靠
2009666300イラスト illustration 插图，插画
2010115300炒る/煎る いる 炒，煎
2010473900衣類 いるい 衣服，衣物
2010939700入れ替える いれかえる 改换，更换，调换
0011496500いわば いわば 说起来，好比是，可谓是
2011948100飲食 いんしょく 饮食，吃喝
2012416300飲酒 いんしゅ 饮酒，喝酒
2012899100飲酒運転 いんしゅうんてん 酒后驾车
2013337700インストール install 安装，使计算机能达到能使用的状态
2013946900引退 いんたい 隐退，退职，退役
2014452300インフルエンザ influenza 流行性感冒，流感
2014975400インフレ インフレ 通货膨胀，物价上涨
2015480500引用 いんよう 引用，借用
2015913700飲料 いんりょう 饮料
2016207900引力 いんりょく 引力，相互吸引的力
2016752000ウイルス virus 病毒，计算机病毒
2017315100ウーマン woman 女人，女性，妇女
2017885100ウール wool 羊毛，毛线
2018293700ウェーター waiter 男侍者，男服务员
2018821100ウェートレス waitress 女侍者，女服务员
2019305700植木 うえき 栽种的花木，盆栽的花木
0019810000植木鉢 うえきばち 花盆，用于种植树木，花草的盆，容器
0020594400ウェスト waist 腰围，腰身
0021040100飢える うえる 饥饿；渴望，渴求
0021568200魚 うお 鱼，鱼类的总称
0022006700嗽 うがい 漱，漱口
0022358700浮く うく 漂，浮；浮现，浮出；动摇，晃荡；高兴，快活
0023515700受け入れ うけいれ 接收，接纳；答应，诺许
2024236600受け入れる うけいれる 接收，听取，收容，接纳
2024948700受け付ける うけつける 受理，接受(申请，报名等)；听取，答应；容纳，接纳
0025853800承る うけたまわる 聆听；接受，听从
2026559400受け取り うけとり 收，领；已经收取的凭证
0027221400受け持ち うけもち 担任者，担当者，班主任；负责(的工作),主管(的地方)
0028150900受け持つ うけもつ 担任，担当，负责
0028804500動き うごき 活动，移动；动向，动态
0029389300薄明るい うすあかるい 微亮，(发出)微弱的亮光
0029952700薄暗い うすぐらい 微暗，因光纤较弱而比较暗
0030594800薄める うすめる 稀释，冲淡
0031043800薄れる うすれる 变得淡薄，退化
0031505500右折 うせつ 右拐，右转弯
0031957800嘘つき うそつき 说谎，谎言，说谎的人
0032553400疑い うたがい 怀疑，觉得可疑；疑问，疑惑
0033226700疑いなく うたがいなく 毫无疑问，没有怀疑地
0033764200打ち上げる うちあげる 发射，打出；(演出等)终了，闭幕
2034518400打ち合わせ うちあわせ 事先商量，商谈
0035014000打ち合わせる うちあわせる 互相击打；(事先)商量
0035638100打ち消し うちけし 否定，否认
0036050500打ち消す うちけす 否定，否认；打消，抹去
