2000268900遅れ おくれ 延迟，滞后，晚点
2000806900桶 おけ 桶
0001475900奢る おごる 奢侈，浪费；请客，款待
0002166100抑える おさえる 镇压；控制，抑制；限制
0002781200治まる おさまる 安定；(疼痛等)止住，消除
0003298500収まる おさまる 收纳，容纳；恢复，平复
0003962500納まる おさまる 上交，缴纳；结束，得到解决；平息，安定
0004873300治める おさめる 管理，治理，使(国家等)处于安定状态，平定，平息；镇定
0005936300収める おさめる 取得，获得；收纳，收藏；复原，恢复原状
0006839000納める おさめる 缴纳；结束，完毕；收藏，收存
0007614000おさらい おさらい 复习，温习；排练，排演
2008345600教え おしえ 教导，教诲；说教，教义
2008956500教え子 おしえご 学生，徒弟，门徒
2009526900惜しまず おしまず 不惜，毫不吝啬
2010112700惜しむ おしむ 吝啬，舍不得；爱惜，珍惜；惋惜，觉得可惜
0011144800おしゃれ おしゃれ 爱漂亮，注意着装打扮，时髦的
0011748800押し寄せる おしよせる 蜂拥而至，涌来；推过去，推而使靠近
2012565200雄 おす 雄，公
2012898900お世辞 おせじ 恭维(话),奉承(话)
2013286900襲う おそう 袭击，攻击；(心情)遭受扰乱；突然造访，贸然前往
1014234000遅くとも おそくとも 最晚，最迟
0014688000恐れ おそれ 恐惧，害怕；忧虑，担心
0015271800恐れ入る おそれいる 折服，拜服；十分抱歉；实在不好意思
0016095300教わる おそわる 受教(于…),向…学习
2016669700落ち込む おちこむ 掉进，陷入；凹陷，坍塌；(情绪)低落
0017484500落ち着き おちつき 沉着，镇定；稳定，协调
2018170100お使い おつかい 出使，使者
0018567200脅かす おどかす 威胁，胁迫；震惊，使…惊讶
2019348500落とし物 おとしもの 遗失物，丢失的物品
0019857300~落とす ~おとす 遗忘…,漏…;…掉
2020404100訪れ おとずれ 来访，拜访；来临，到来
2021194900訪れる おとずれる 拜访，访问；来临，到来
0021837600劣る おとる 劣，次，不及…,比不上
0022473900驚き おどろき 惊讶，惊恐，震惊，感到害怕
2023224000斧 おの 斧子，斧头
2023595600各々 おのおの 各自，各个
2024037500帯 おび 带子，腰带，带状物
0024595800溺れる おぼれる 淹没，溺水；沉溺于…,迷恋
0025266800お参り おまいり (去神社，寺院)参拜，前往拜(神佛)
0025783700おまけ おまけ 降价，打折扣；赠品，附录
0026473300おめでたい おめでたい 可喜可贺的
2026928300思い おもい 思考，思索；心绪，感觉；预想，计划；思念，想念
2028092000思い浮かぶ おもいうかぶ 回忆起，浮现出…
0028624500思いがけない おもいがけない 意外的，意想不到的
0029097300思い切って おもいきって 下定决心，鉴定的，断然
0029615600思い切り おもいきり 断念，死心；狠狠地，痛快地，尽情地
2030384500思い込む おもいこむ 深信，确信，固执地认为
0031014300思いつく おもいつく 想出，想起
0031457600思いもよらない おもいもよらない 无法想象，出乎意料，万万没有想到
0032174500思うままに おもうままに 随心所欲地，尽情地
0032690000重んじる おもんじる 重视
2033050000親孝行 おやこうこう 尊敬父母，孝顺父母，孝子
0033696300おやつ おやつ 点心，零食，正餐之间的茶点
0034338900及び および 以及，和，同时
0034920400及ぼす およぼし 波及，带来，牵涉
2035447300折り畳み おりたたみ 折叠，叠
2035934300折り畳む おりたたむ 叠，折叠，重复折
2036526900織物 おりもの 织物
2036933300オルガン オルガン 风琴，键盘乐器
2037450500俺 おれ 我，俺，男子用语，用于与同伴，晚辈之间的交谈，比[ぼく]粗鲁的说法
0038568900卸売り おろしうり 批发，批售
0039010600卸す おろす 批发，成批出售；擦，磨成细丝
2039777000恩 おん 恩，他人给与的恩惠
